IBOVESPA - 2026
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;;;;;;;;;;;
2;160.538,69;182.793,40;189.307,02;;;;;;;;;
3;;185.674,43;183.104,87;;;;;;;;;
4;;181.708,23;185.366,44;;;;;;;;;
5;161.869,76;182.127,25;180.463,84;;;;;;;;;
6;163.663,88;182.949,78;179.364,82;;;;;;;;;
7;161.975,24;;;;;;;;;;;
8;162.936,48;;;;;;;;;;;
9;163.370,31;186.241,15;180.915,36;;;;;;;;;
10;;185.929,33;183.447,00;;;;;;;;;
11;;189.699,12;183.969,35;;;;;;;;;
12;163.150,35;187.766,42;179.284,49;;;;;;;;;
13;161.973,05;186.464,30;;;;;;;;;;
14;165.145,98;;;;;;;;;;;
15;165.568,32;;;;;;;;;;;
16;164.799,98;;;;;;;;;;;
17;;;;;;;;;;;;
18;;186.016,31;;;;;;;;;;
19;164.849,27;188.534,42;;;;;;;;;;
20;166.276,90;190.534,42;;;;;;;;;;
21;171.816,67;;;;;;;;;;;
22;175.589,35;;;;;;;;;;;
23;178.858,54;188.853,49;;;;;;;;;;
24;;191.490,40;;;;;;;;;;
25;;191.247,46;;;;;;;;;;
26;178.720,68;191.005,02;;;;;;;;;;
27;181.919,13;188.786,98;;;;;;;;;;
28;184.691,05;;;;;;;;;;;
29;183.133,75;;;;;;;;;;;
30;181.363,90;;;;;;;;;;;
31;;;;;;;;;;;;
MÍNIMO;160.538,69;181.708,23;179.284,49;;;;;;;;;
MÍNIMO;184.691,05;191.490,40;189.307,02;;;;;;;;;
